sent_data_size, max_receive_time
194639, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
3499, 163
